geneID,symbol,entity,0_R1,0_R2,0_R3,1_R1,1_R2,1_R3,4_R2,4_R3,7_R1,7_R2,7_R3,20_R1,20_R2,20_R3
gene-b2766,ygcN,host,20.820620700956905,25.287857052162867,23.49763165198823,23.19314633312791,32.166097159817795,26.886884886861555,4.719188227847194,3.905830665825661,1.8485772472688864,2.196105963610213,1.8425192522314011,0.8479455785311528,1.5706636946053267,0.9079917723231358
gene-b0493,ybbO,host,72.37026248676234,69.20249026074171,81.2943845010021,60.92190892969857,66.14236746240455,70.46389562677903,12.065979281477327,15.352063123975574,4.852534222187091,5.872616238787209,5.826511413144534,2.90976770816671,4.642470687713814,2.9897554653794054
gene-b2957,ansB,host,103.2374147597613,119.1170176133556,97.88687837326192,115.61131072262532,110.6562239225492,61.44170699328065,6.267668517682682,3.1802291693731566,3.3065998200865,4.803935369570587,3.342382139228576,2.687159991078424,5.003140605507824,2.3367143222912437
gene-T4p179,24.2,phage,0.0254829852845658,0.0230905017349387,0.8304572660200891,2.2768423815593715,1.9012497833332511,1.1171431088571353,1368.8270548314065,849.9438156744985,2414.8329191536345,2436.697236329087,2129.7414338155972,308.67901300905606,385.2158555568139,392.1995345725748
gene-b0350,mhpD,host,1.4833928878426723,1.4554712926923037,1.16325532595851,1.1125346107309488,1.213701528353034,1.0144562170328937,0.3108008401067428,0.3106535126263293,0.1606799411320228,0.1450606401612776,0.3091618300852201,0.0493180967485883,0.0337879962715707,0.1379887137867418
gene-b0096,lpxC,host,1090.4486691415843,1390.1715801633648,1218.0360143318792,1110.544493370384,1237.1820045987636,1065.6625922070589,212.52073915769495,208.87517746019697,81.72937946874129,96.56992351229954,79.57769549501243,45.83474714210189,60.08499501681493,40.08436852452117
gene-b4432,ryeA,host,187.5458713870443,177.56451518532026,170.7633859557235,198.1139034602079,142.3110626425012,177.82177707972502,36.67221383230075,39.2632998495102,17.70433027840708,18.853926396104015,18.059212670843387,5.559941946998152,6.862192978066576,5.250673484164623
gene-b4340,yjiR,host,0.0050316722536403,0.0227963552160222,0.0327951277027041,0.0034850201860633,0.0250270672116054,0.0066843150694018,0.0039592463707865,0.0041414332893452,0.0061406346929435,0.0026824445478765,0.0045442699179601,0.0040387886327324,0.0038737830120272,0.0087890900501109
gene-b1489,dosP,host,1.578957621963306,1.3931365590503586,1.2550285432728596,1.499869918852236,1.7062766180524265,1.507254560393269,0.2354316363808576,0.2121293898718742,0.133766050992409,0.1468738981632936,0.1203947511389559,0.0689572674181154,0.0980696591782339,0.0879678050390478
gene-b1907,tyrP,host,38.74580682134616,43.5383412700795,52.673602125887065,29.720709339990268,36.99135580921127,35.93284273698195,6.38372616635087,5.904956044458911,2.355313394514454,2.723883004369823,2.10326583947923,1.2477757504814335,1.7748734081071125,1.6907033001098315
gene-b2583,tapT,host,30.463104318611812,27.06850958962616,28.263347760026193,32.23007992460903,32.732503780527914,32.73974652188295,8.219548398016093,9.083336313392868,3.1404997936276065,3.172134585833284,2.4710491602387523,1.3307721875569416,2.2787320747273045,1.225908315616118
gene-b3675,yidG,host,14.552469422960463,12.724774761879738,13.318887358996571,14.42029348443705,13.502330279453965,12.15092470843332,2.2346837263873245,2.3697555095404588,1.1712372568466465,1.0963660753325035,0.972886877890553,0.2672609965478398,0.6182365598781614,0.3079087001852916
gene-b1596,ynfM,host,39.886053917113955,36.58314364944585,43.83900464245474,43.75745490092347,50.56323765885746,31.77686604269593,5.465038695656841,4.8112060926778275,3.3696659424959634,4.319242691266072,2.770167373362048,2.1616698250192927,3.0336447370144697,2.228286646077768
