geneID,symbol,entity,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b2619,ratA,host,41.20435709983546,35.75090068991831,35.528759858508884,35.53106507341087,34.37725374854437,30.50277512249162,22.656252457002257,28.85786226961517,19.208768607541007,16.259305411003925,14.666695424318997,14.30188065081773
gene-b1378,ydbK,host,15.024094657866616,11.5680748192137,10.503094711024074,9.330927972835644,7.268431993346804,7.582587471413578,4.65121125970574,5.392328076960423,5.464018233819437,5.16507595762209,6.621175149431703,6.2936428231372075
gene-b3889,yiiE,host,0.2735246487661238,0.9619472933736444,0.8315501308198932,0.3481739799613167,0.2936332713413137,0.4468122953049783,0.3234702258425229,0.3520518512408713,0.6362084094370708,0.2221712896263061,0.8053428936802302,1.1426881112503646
gene-b0267,yagA,host,0.3515166698284414,0.82779360490715,0.6067927007344533,0.3780996774125373,0.230657378638056,0.2932624155997709,0.2248888236809921,0.1283705551477702,0.2355190809455971,0.4296850448201236,0.1934217477981782,0.8572419111277438
gene-b1431,ydcL,host,16.624492890103678,18.982669924188222,16.687388472530372,13.97763107405242,11.218822508691412,13.220187868156094,5.706259763803948,8.590235184969131,3.917375504189181,4.087353958838044,6.520508696425014,6.651830559095757
gene-b0982,etp,host,1.4443162102258933,1.7280619162841977,1.1728289927264508,1.4732071696349796,1.1714362819282902,1.397643622742831,1.003698441260804,1.4727290400644193,0.6382416737689246,0.7184035392077471,0.5523895552625472,0.8032493901377673
gene-b2552,hmp,host,5.236316680730937,5.102365269541468,3.887485753936798,3.893696510045987,3.0313223898923893,3.242137889338526,2.1346500014388043,2.693970889567086,2.2004401446704973,1.952756921969856,2.6556705966748417,2.7497848941522576
gene-b0050,apaG,host,75.5200590429692,60.976378583689424,59.78341470818778,66.65923986481617,55.240674694322955,58.84256061154664,40.709041694105515,53.07837187459972,24.169427636063418,23.761395751953785,26.657701995517925,25.934446218519753
gene-b3431,glgX,host,31.46822102772696,26.989365181269218,23.077488352400753,26.10847865348224,13.770482423496128,16.827231017091822,3.9674535383437446,6.6908372116062305,4.923962103578487,4.766958512465222,10.56076245046996,10.676439911385808
gene-b0857,potI,host,47.82553696177954,37.0776540353987,35.37429983224248,43.63118322387584,22.988034136959456,27.483587603487916,16.23532494836477,20.827621836517704,12.33623361149095,12.825271006477442,11.049190268258194,12.153613838206352
gene-b4136,dsbD,host,9.254572789318363,9.41321686145514,6.321214547835021,7.017556733601952,3.727630653370534,4.632383249162853,2.9899088307411055,4.013190150384692,3.8253328619585343,3.570363279475187,3.7739183775109497,4.376500732741738
gene-b1164,ycgZ,host,26.538815604966317,21.994280130381817,15.530881250384128,9.21318834201436,9.574143789430792,5.367403395499043,5.47988589349253,5.179995641772937,7.138649512761345,4.475485953307642,13.444808831794088,12.533093763956256
gene-b2918,argK,host,1.1828018697145537,1.5022811414356243,1.0028543153088034,1.0648289107853084,0.6179691609855273,1.0806935937647515,0.5136767809982501,0.5775901665052386,0.6994459923028038,0.5178197105808305,0.5784561306614826,1.081483365637295
gene-b3023,ygiV,host,22.30990867061551,25.39807423751599,23.61630543752014,24.383384648595275,14.55008876491186,17.687832167937877,6.795553585143023,9.417933685058587,3.9698576793534106,3.3645840892351537,9.22626163124262,8.672765154386038
gene-b2609,rpsP,host,3305.8844483771036,2999.2907403821673,3640.1284580447514,3592.4961163427897,3922.6468718486103,4515.243636919152,2951.729032570683,4292.05466368703,1874.914942795687,1760.4697737762017,1048.8236014793629,985.2204220211754
gene-b0462,acrB,host,94.55202952988095,74.89162545728995,74.27508962294614,79.3991317819785,61.24642723742066,67.92761301540858,31.05214902092988,51.61232308123212,24.266315973428025,24.63050162474464,26.983691163444448,24.202796624173303
